bed_type,occupancy_rate,total_beds,queue_count_for_type,hour_of_day,wait_for_bed
0,0.14,13,17,0,131
2,0.25,30,10,18,97
1,0.35,13,15,3,165
1,0.26,19,16,16,148
3,0.18,14,4,8,112
1,0.21,28,11,23,109
1,0.51,46,10,1,134
1,0.29,12,14,7,151
3,0.43,28,2,14,97
1,0.55,20,0,6,71
2,0.72,53,19,5,193
3,0.14,30,15,0,142
2,0.82,31,1,14,89
3,0.67,41,1,22,107
1,0.17,8,2,6,69
2,0.89,54,7,16,132
3,0.93,28,14,1,209
0,0.15,23,6,8,65
1,0.35,40,5,8,99
3,0.83,43,8,12,167
0,0.77,14,19,5,196
3,0.27,29,0,5,60
0,0.29,22,7,19,81
1,0.43,23,2,19,88
2,0.54,40,3,20,84
0,0.66,14,14,2,155
3,0.43,37,5,16,108
1,0.52,59,14,16,148
0,0.77,54,2,11,79
3,0.13,9,13,15,150
3,0.33,51,19,14,181
3,0.74,53,13,12,188
0,0.91,39,3,22,99
0,0.56,48,11,0,118
0,0.58,38,16,16,142
2,0.2,37,6,2,64
0,0.5,59,8,14,78
0,0.58,25,2,3,63
0,0.32,21,12,3,93
2,0.34,26,14,17,139
0,0.44,52,17,16,145
3,0.12,41,18,18,169
0,0.39,19,0,10,51
3,0.29,39,5,19,99
3,0.39,32,1,2,90
3,0.21,11,13,7,157
2,0.9,36,5,13,120
2,0.63,15,13,0,150
2,0.71,14,3,13,101
0,0.81,13,7,1,126
3,0.55,18,2,22,98
2,0.18,17,18,3,132
2,0.58,29,13,23,135
0,0.63,6,19,18,200
2,0.77,39,16,5,174
0,0.49,11,7,0,103
1,0.21,25,13,16,119
2,0.36,22,5,7,63
1,0.43,7,15,18,178
0,0.68,46,18,20,160
3,0.61,58,13,0,173
2,0.42,43,18,4,149
0,0.99,45,2,15,141
3,0.65,53,9,5,157
3,0.31,15,18,7,176
1,0.19,43,8,12,96
0,0.24,28,19,15,131
3,0.32,50,12,2,144
2,0.24,23,6,18,77
2,0.27,8,13,11,129
1,0.36,30,8,15,112
3,0.26,42,18,10,183
0,0.91,46,14,9,175
2,0.17,36,19,19,139
3,0.57,43,13,3,164
3,0.47,49,5,11,112
1,0.98,50,3,22,162
2,0.2,40,7,1,64
2,0.46,44,16,23,159
0,0.97,41,8,21,173
2,0.88,37,0,18,100
0,0.84,40,19,4,190
2,0.33,7,13,7,132
1,0.25,13,10,6,118
2,0.7,12,2,13,100
0,0.94,37,8,23,134
0,0.6,10,13,22,141
1,0.61,45,8,2,130
2,0.35,43,3,17,67
2,0.79,8,3,15,105
1,0.27,17,7,22,87
2,0.39,53,1,18,57
2,0.48,6,8,18,134
0,0.56,9,13,17,154
2,0.32,48,8,19,88
2,0.2,31,15,15,120
1,0.65,36,16,7,172
1,0.36,25,15,0,153
3,0.62,12,11,16,174
0,0.24,42,2,11,33
2,0.53,12,10,20,139
2,0.58,54,13,10,142
3,0.15,7,17,4,164
2,0.4,58,4,11,67
0,0.22,48,15,16,115
3,0.16,7,19,5,176
0,0.99,26,4,0,129
3,0.39,10,2,4,100
3,0.83,6,11,13,198
1,0.33,27,0,4,61
0,0.71,48,8,21,110
2,0.78,6,8,23,141
2,0.64,42,3,0,91
0,0.52,21,2,17,57
2,0.47,39,16,15,146
2,0.41,38,1,8,62
0,0.94,27,0,18,95
3,0.85,34,7,21,156
0,0.97,56,12,4,189
3,0.21,12,14,1,145
2,0.76,26,7,14,117
2,0.94,48,11,6,163
2,0.26,40,11,3,94
1,0.16,9,13,0,133
3,0.77,17,14,12,196
1,0.62,33,14,19,171
1,0.86,35,8,21,151
0,0.23,51,18,6,124
1,0.82,59,19,14,212
0,0.28,20,7,22,70
0,0.25,46,18,13,131
1,0.25,34,5,22,75
3,0.83,59,19,18,238
3,0.7,20,18,21,215
3,0.57,16,3,23,99
3,0.42,21,6,19,128
3,0.89,20,3,23,136
1,0.45,16,11,17,142
1,0.83,12,12,9,201
2,0.5,24,2,8,68
3,0.44,7,11,7,157
1,0.52,20,1,9,84
2,0.37,34,1,16,45
3,0.77,49,8,1,166
0,0.55,27,0,5,45
2,0.31,32,7,4,77
1,0.91,55,5,8,146
0,0.45,44,5,4,64
0,0.59,58,17,17,161
0,0.92,9,16,19,203
2,0.66,24,11,8,142
1,0.21,44,5,16,73
0,0.95,48,7,16,155
3,0.66,5,18,11,215
0,0.4,34,9,6,92
0,0.23,25,0,2,29
2,0.81,24,12,9,163
2,0.66,10,16,1,182
1,0.58,26,2,2,93
3,0.9,22,7,15,157
2,0.81,12,13,1,184
0,0.24,43,2,23,35
1,0.38,36,15,9,165
0,0.32,37,12,5,97
0,0.77,57,19,21,192
2,0.13,20,16,10,130
1,0.61,16,12,22,155
3,0.79,42,5,6,142
3,0.89,56,16,14,215
2,0.41,38,13,5,131
2,0.84,18,16,19,190
1,0.2,40,7,8,83
3,0.86,37,10,21,172
3,0.21,27,19,19,180
3,0.46,54,0,11,83
0,0.82,49,6,18,118
3,0.23,6,16,19,186
0,0.31,45,9,2,72
1,0.75,25,10,14,153
0,0.75,6,8,1,121
1,0.68,31,8,20,138
3,0.72,13,4,1,143
3,0.59,5,16,21,206
1,0.33,15,8,2,98
2,0.41,7,16,5,164
1,0.26,56,18,14,162
2,0.92,27,6,9,140
0,0.63,30,8,8,112
0,0.46,8,6,0,95
0,0.52,22,12,15,115
3,0.95,59,10,5,220
0,0.24,10,13,8,131
2,0.63,39,18,3,180
0,0.56,26,10,1,107
1,0.65,47,12,3,157
1,0.12,19,13,0,107
3,0.88,26,12,18,202
1,0.94,41,0,9,120
2,0.61,56,7,20,98
0,0.73,46,11,14,126
3,0.93,16,18,21,230
0,0.74,51,11,18,139
0,0.24,53,7,15,58
2,0.62,46,7,20,110
1,0.65,42,12,23,157
1,0.48,22,11,21,133
0,0.76,49,15,3,155
3,0.94,39,0,1,130
1,0.93,34,12,12,189
3,0.51,28,6,0,119
1,0.2,46,4,16,64
3,0.99,34,7,12,204
2,0.86,18,13,3,164
3,0.21,10,12,6,145
2,0.93,7,14,16,196
2,0.88,20,16,8,184
3,0.57,11,14,3,197
2,0.63,56,19,18,189
0,0.46,18,17,0,141
2,0.15,13,17,9,148
1,0.4,19,1,3,67
3,0.82,25,3,8,131
0,0.1,39,0,12,16
3,0.4,6,3,13,109
1,0.46,31,17,9,179
1,0.58,6,4,5,121
1,0.93,39,18,15,212
2,0.41,22,14,5,133
2,0.41,18,7,16,88
3,0.76,24,19,9,235
3,0.51,22,16,17,179
0,0.3,14,0,21,42
0,0.51,29,11,17,117
3,0.23,6,18,2,186
2,0.26,29,14,19,128
1,0.55,58,8,20,119
3,0.48,37,6,14,116
0,0.92,40,1,14,88
2,0.43,35,8,3,92
3,0.62,18,9,8,162
3,0.67,5,1,18,127
2,0.11,50,18,23,113
3,0.7,20,10,16,161
2,0.26,58,12,10,108
1,0.96,50,9,8,195
2,0.23,56,13,9,111
2,0.47,7,17,17,178
2,0.18,39,18,19,149
3,1.0,45,8,12,210
3,0.55,10,6,7,137
2,0.64,29,2,6,82
3,0.16,17,19,16,166
0,0.77,57,5,20,96
0,0.29,38,1,22,26
3,0.91,12,5,14,158
3,0.28,25,2,19,83
2,0.27,38,15,14,125
1,0.13,8,7,0,93
3,0.52,29,1,13,91
0,0.61,19,16,4,146
2,0.16,8,8,10,98
3,0.8,49,11,15,171
0,0.51,16,2,1,62
0,0.57,36,10,7,106
1,0.5,36,0,10,74
2,0.46,32,12,17,124
2,0.6,17,14,2,145
1,0.24,35,4,0,75
1,0.26,18,16,10,155
2,0.88,24,5,15,124
2,0.95,22,10,17,196
3,0.44,33,17,15,176
3,0.34,10,3,22,102
1,0.68,36,2,9,102
3,0.47,33,12,17,169
0,0.12,47,8,5,53
3,0.24,6,5,18,119
3,0.74,27,11,3,177
0,0.69,23,1,12,77
1,0.12,35,2,23,46
0,0.3,55,2,13,43
3,0.31,9,11,2,160
1,0.7,23,14,9,177
3,0.12,38,8,5,91
0,0.19,14,7,0,65
0,0.82,29,10,22,137
3,0.26,6,15,23,159
2,0.69,15,3,13,88
2,0.31,54,0,7,40
0,0.19,35,6,18,62
0,0.32,19,1,13,37
2,0.75,13,4,9,126
2,0.87,27,6,16,131
3,0.85,23,3,8,138
3,0.46,13,4,5,117
2,0.7,39,0,10,77
3,0.28,25,0,6,69
3,0.36,13,14,16,176
1,0.91,32,19,0,223
3,0.11,50,18,21,164
0,0.18,55,9,4,64
3,0.29,11,17,8,199
3,0.12,20,2,17,78
2,0.26,20,10,23,97
0,0.62,37,14,20,149
3,0.48,8,10,1,150
3,0.9,8,16,10,237
1,0.84,43,16,5,193
3,0.41,44,5,7,111
3,0.33,21,4,3,88
1,0.44,41,7,17,118
2,0.63,43,1,10,88
3,0.34,56,15,4,164
1,0.66,33,19,14,200
0,0.47,56,11,17,111
2,0.6,40,5,1,90
0,0.49,42,0,21,50
0,0.37,43,3,10,63
1,0.95,54,16,12,236
3,0.79,41,12,3,181
1,0.23,56,17,21,138
1,0.88,39,4,6,123
1,0.54,11,2,10,118
1,0.91,31,10,21,160
2,0.82,32,12,23,157
3,0.48,26,3,3,106
0,0.12,18,13,14,83
0,0.34,11,10,0,107
3,0.59,41,9,22,152
0,0.67,26,18,2,168
3,0.33,9,17,13,201
0,0.23,59,5,5,42
1,0.85,6,14,17,214
0,0.99,31,9,0,172
3,0.57,25,4,5,119
3,0.25,58,4,5,89
3,0.35,42,9,20,122
3,0.12,19,4,15,76
3,0.92,25,2,4,126
2,0.21,14,5,16,77
2,0.62,27,3,9,93
0,0.35,43,17,20,137
3,0.6,9,8,17,170
0,0.69,5,16,6,175
3,0.85,17,12,2,189
3,0.29,25,14,12,146
2,0.11,30,19,14,130
2,0.22,54,16,19,140
1,0.91,49,12,18,194
2,0.89,25,15,2,179
1,0.64,57,3,3,101
1,0.64,22,4,4,102
1,0.7,41,4,0,118
1,0.26,49,8,3,100
1,0.92,36,16,11,214
0,0.48,40,12,23,111
2,0.44,21,1,9,62
1,0.57,39,12,22,149
3,0.14,53,18,20,164
2,0.25,15,2,19,51
2,0.76,25,9,23,128
1,0.17,56,1,12,51
0,0.64,59,12,22,133
1,0.32,57,18,13,157
0,0.45,30,16,22,143
3,0.36,8,13,4,171
2,0.42,38,11,3,114
3,0.75,56,11,13,174
0,0.37,52,10,9,104
0,0.61,22,6,16,87
3,0.53,44,3,9,114
0,0.7,39,18,6,160
3,0.94,45,0,15,129
2,0.76,33,2,0,83
3,0.29,56,12,16,146
2,0.13,33,14,20,104
3,0.34,42,1,8,84
0,0.64,46,10,5,114
3,0.15,25,3,18,78
0,0.55,46,18,12,165
3,0.64,17,16,2,181
3,0.4,53,2,6,94
1,0.79,45,17,21,200
0,0.2,21,7,8,62
1,0.17,13,18,21,158
0,0.76,45,4,4,101
1,0.55,5,6,9,129
2,0.72,6,7,22,126
3,0.49,52,4,16,114
0,0.32,33,16,11,126
0,0.84,37,4,22,95
3,0.82,14,3,15,148
0,0.73,54,18,2,169
0,0.34,44,1,21,42
1,0.63,25,10,8,155
0,0.42,32,12,14,112
2,0.18,15,14,4,112
2,0.93,59,11,22,169
3,0.22,38,10,12,120
0,0.96,12,6,13,161
3,0.5,26,4,19,119
2,0.27,12,16,14,156
0,0.59,53,19,15,162
0,0.89,19,8,22,126
3,0.76,21,13,12,188
2,0.83,27,11,16,150
0,0.69,28,5,22,87
3,0.72,49,16,7,206
2,0.86,23,18,20,207
3,0.32,9,18,1,193
1,0.54,36,15,4,159
0,0.3,48,11,5,85
1,0.99,5,11,11,226
2,0.95,27,19,17,253
1,0.14,41,5,21,70
1,0.74,12,3,21,125
2,0.93,17,5,0,121
3,0.26,12,10,16,133
1,0.61,27,0,10,92
3,0.92,47,14,9,219
1,0.13,5,10,18,112
3,0.73,49,18,13,222
2,0.37,55,17,9,156
1,0.93,28,16,14,212
2,0.97,39,18,18,237
1,0.95,28,13,3,212
2,0.53,21,17,1,159
2,0.88,9,18,8,223
1,0.86,24,14,9,203
1,0.39,25,14,10,156
1,0.85,44,3,13,118
0,0.13,35,6,6,43
3,0.64,50,12,22,176
0,0.31,40,2,14,35
0,0.21,15,15,21,117
2,0.17,56,8,18,80
1,0.73,19,7,21,141
3,0.41,23,19,14,194
2,0.75,11,12,23,164
0,0.16,55,16,7,108
1,0.38,32,16,10,161
2,0.59,55,16,8,169
1,0.81,47,0,14,98
2,0.39,9,7,0,99
1,0.66,9,18,0,207
0,0.9,34,5,18,119
3,0.65,58,2,2,100
0,0.31,36,4,9,62
3,0.12,12,12,7,133
1,0.88,14,14,14,197
2,0.12,42,13,9,98
0,0.89,51,15,0,161
3,0.58,36,17,17,195
0,0.95,52,10,1,172
3,0.82,32,2,18,144
0,1.0,21,9,12,171
3,0.42,35,9,21,133
3,0.79,12,15,0,218
1,0.46,44,11,1,133
3,0.53,29,1,15,93
1,0.66,13,8,14,141
3,0.89,6,2,12,154
2,0.99,19,14,15,222
2,0.79,54,2,16,85
2,0.48,7,18,20,171
3,0.48,53,17,6,184
1,0.76,40,7,23,131
1,0.31,8,16,16,166
3,0.2,18,7,6,96
2,0.42,45,6,12,95
2,0.36,45,6,4,84
1,0.37,29,2,16,71
2,0.31,59,0,2,43
0,0.14,54,3,6,36
1,0.12,14,4,16,72
2,0.99,25,0,6,125
1,0.48,40,14,20,153
0,0.45,16,4,0,69
1,0.71,31,12,16,162
1,0.3,44,7,16,86
1,0.95,6,7,10,201
1,0.81,58,4,2,122
0,0.18,17,8,14,64
3,0.48,57,0,20,93
1,0.89,36,3,10,124
1,0.95,35,2,15,155
2,0.52,20,1,21,70
1,0.65,36,7,8,145
2,0.25,36,8,23,78
3,0.99,38,1,23,168
0,0.31,15,13,0,109
0,0.95,14,13,21,209
3,0.68,19,3,15,119
0,0.65,21,5,8,99
3,0.56,44,10,18,146
3,0.31,22,2,11,83
3,0.26,59,7,18,114
0,0.3,13,2,21,53
2,0.27,29,13,8,131
3,0.8,44,12,6,181
1,0.42,18,12,13,133
0,0.15,29,1,18,37
3,0.97,54,12,18,233
3,0.9,26,18,1,226
1,0.93,56,5,8,146
2,1.0,34,15,12,224
2,0.26,24,1,14,40
2,0.46,25,7,2,87
3,0.78,48,16,10,212
3,0.73,36,1,20,109
3,0.24,55,9,13,115
0,0.83,50,15,7,167
1,0.3,53,5,17,92
3,0.3,25,1,18,72
1,0.58,39,1,15,89
1,0.63,36,12,1,155
2,0.62,34,14,7,157
0,0.18,59,1,21,24
3,0.89,43,6,5,162
2,0.34,53,2,11,55
2,0.22,16,7,14,79
3,0.9,45,13,7,202
1,0.96,51,6,3,177
2,0.88,22,6,14,137
1,0.83,25,0,19,112
0,0.69,17,16,16,161
1,0.6,25,8,12,121
0,0.18,12,12,17,105
1,0.47,50,18,1,177
2,0.44,44,18,12,158
2,0.33,50,16,12,133
0,0.75,11,9,21,137
3,0.55,27,9,14,151
0,0.17,48,3,19,45
0,0.3,36,7,9,71
1,0.71,15,19,2,202
1,0.17,26,19,18,158
0,0.87,26,17,2,178
2,0.55,47,13,21,135
1,0.53,29,17,13,172
3,0.63,26,13,7,168
1,0.84,32,19,22,214
1,0.41,33,14,3,143
3,0.71,17,3,19,115
0,0.61,22,12,10,145
3,0.34,6,7,10,141
0,0.89,33,17,10,188
0,0.82,25,11,1,140
0,0.69,19,13,16,134
3,0.87,56,1,8,141
0,0.88,31,17,1,191
2,0.74,54,1,23,83
3,0.85,35,10,14,182
2,0.73,19,8,15,125
0,0.71,55,11,3,123
1,0.66,27,16,7,178
0,0.78,28,14,8,163
2,0.24,48,16,4,125
2,0.89,17,17,15,191
3,0.88,26,5,12,149
1,0.13,47,16,6,132
3,0.84,41,17,19,226
2,0.22,37,7,16,66
0,0.4,7,8,2,95
1,0.77,58,5,4,118
0,0.24,23,4,18,58
0,0.84,27,11,11,131
1,0.85,33,10,6,167
3,0.56,34,0,8,105
0,0.11,43,10,5,68
2,0.36,48,18,16,137
0,0.66,51,8,15,106
1,0.98,29,1,22,149
1,0.67,41,11,2,146
1,0.33,51,3,20,70
3,0.67,12,3,3,141
0,0.59,46,17,9,166
3,0.8,20,14,4,191
3,0.2,12,18,20,173
1,0.78,5,12,21,181
1,0.59,48,18,9,193
3,0.97,9,16,11,271
0,0.41,7,5,9,87
2,0.67,5,15,12,178
3,0.94,8,11,10,223
0,0.19,44,18,21,129
1,0.94,39,4,15,133
1,0.72,36,16,7,185
0,0.16,46,0,7,13
2,0.37,38,9,7,103
1,0.74,47,14,12,172
1,0.16,29,10,1,100
1,0.62,14,12,11,168
0,0.41,25,4,9,66
3,0.66,50,0,11,93
1,0.14,43,11,10,113
3,0.88,31,10,14,179
2,0.98,31,16,15,227
1,0.97,6,3,16,173
1,0.77,45,14,1,184
2,0.22,52,8,17,81
1,0.78,17,19,11,218
3,0.12,13,18,18,173
0,0.12,56,18,22,121
3,0.39,40,11,17,151
0,0.54,26,4,16,69
0,0.79,46,9,5,127
3,0.71,30,16,14,206
3,0.5,58,4,2,98
3,0.35,16,15,5,164
3,1.0,21,6,2,184
2,0.48,18,8,0,96
1,0.51,18,2,12,91
0,0.25,38,14,20,104
3,0.82,57,15,13,198
3,0.72,24,17,12,206
3,0.3,15,13,3,155
2,0.17,20,2,6,28
3,0.71,55,11,21,165
3,0.69,35,8,9,166
3,0.35,59,6,6,117
1,0.96,10,8,20,204
2,0.24,23,12,14,97
3,0.49,41,17,14,197
0,0.95,8,4,3,162
0,0.48,51,12,22,119
0,0.67,8,3,22,89
2,0.46,24,1,5,57
2,0.35,14,15,23,146
0,0.99,28,8,19,177
3,0.47,58,8,4,138
2,0.9,39,5,19,133
0,0.31,30,10,11,83
0,0.29,41,0,0,33
3,0.13,42,3,7,71
1,0.69,25,12,0,163
2,0.43,58,12,4,128
3,0.88,44,12,21,186
0,0.53,43,1,5,54
0,0.97,25,8,20,163
3,0.27,14,7,2,113
2,0.88,42,6,14,127
1,0.8,50,3,4,128
1,0.79,8,17,23,204
0,0.86,49,2,13,89
2,0.78,24,5,17,121
1,0.66,21,11,15,151
2,0.22,59,11,5,95
2,0.13,11,7,23,72
0,0.93,8,0,13,100
1,0.65,33,3,23,98
3,0.82,18,10,7,163
0,0.53,7,2,6,81
1,0.21,28,12,7,121
1,0.21,41,16,12,140
1,0.72,20,9,5,145
1,0.49,59,11,17,148
1,0.28,56,14,1,135
2,0.54,8,9,7,132
0,0.16,28,13,10,99
2,0.62,38,12,0,144
3,0.34,34,4,21,96
1,0.82,22,5,5,130
0,0.38,23,1,15,34
1,0.51,35,16,19,176
0,0.11,23,3,11,24
2,0.17,53,13,10,108
0,0.45,50,9,9,98
3,0.53,23,2,2,94
3,0.64,26,2,12,120
0,0.36,28,14,2,123
0,0.73,49,5,14,105
0,0.87,16,16,15,168
0,0.8,34,11,12,138
3,0.14,42,19,16,160
1,0.53,57,10,2,129
0,0.19,35,3,19,39
0,0.32,40,5,10,73
3,0.99,23,0,20,157
3,0.23,52,19,18,188
2,0.55,49,15,21,153
0,0.66,40,14,10,163
2,0.73,34,16,15,164
3,0.6,59,7,20,142
3,0.11,53,11,2,122
1,0.39,59,9,21,109
0,0.57,37,14,5,140
2,0.18,22,8,13,76
3,0.42,56,1,23,83
3,0.13,53,4,17,80
2,0.17,32,5,16,52
1,0.46,51,6,3,113
3,0.22,15,0,22,60
0,0.61,58,6,14,95
3,0.72,49,19,10,223
0,0.82,37,11,2,136
2,0.28,21,15,2,131
0,0.25,10,15,15,121
2,0.19,8,10,4,100
0,0.67,24,3,20,78
2,0.74,52,12,9,157
0,0.13,51,6,18,55
1,0.94,31,3,3,130
0,0.15,19,14,18,109
0,0.59,10,18,10,188
1,0.74,51,8,1,135
3,0.88,18,10,9,186
3,0.74,15,7,10,163
0,0.82,43,0,19,86
1,0.41,13,7,15,112
0,0.83,30,12,18,156
2,0.17,20,3,22,33
2,0.91,9,7,23,149
0,0.59,56,2,10,83
3,0.84,14,8,13,174
3,0.51,54,1,1,88
0,0.68,7,1,22,86
0,0.57,17,12,4,116
2,0.76,47,14,4,159
3,0.17,53,11,18,132
0,0.15,34,3,20,28
2,0.32,58,7,11,80
3,0.24,49,8,17,121
1,0.88,10,4,3,145
2,0.3,21,19,21,152
3,0.98,49,17,16,259
3,0.4,55,10,9,146
2,0.26,57,14,19,125
1,0.81,23,8,5,148
2,0.69,46,16,13,166
3,0.55,39,11,10,163
0,0.6,50,6,10,93
0,0.75,30,9,17,129
2,0.31,55,9,22,88
3,1.0,9,12,21,241
0,0.98,33,18,17,235
3,0.69,41,10,23,163
2,0.28,24,12,22,111
0,0.71,53,7,10,112
3,0.16,25,7,20,98
0,0.13,14,3,11,47
2,0.33,9,14,4,141
3,0.52,40,10,22,143
0,0.88,10,10,8,163
2,0.75,30,0,8,87
0,0.77,8,16,21,180
0,0.48,43,14,9,125
1,0.41,43,19,21,177
1,0.43,54,5,18,113
2,0.99,39,14,0,211
1,0.14,5,8,6,97
2,0.88,28,13,3,169
1,0.62,40,17,0,184
0,0.49,10,16,14,161
2,0.75,45,17,7,173
2,0.54,58,4,11,86
0,0.89,50,19,21,197
2,0.91,48,19,21,205
2,0.48,35,8,17,111
1,0.35,24,10,14,122
2,0.63,28,0,16,71
3,0.92,29,17,13,219
0,0.29,40,5,13,60
1,0.66,25,1,17,98
1,0.67,34,14,19,178
3,0.76,28,13,17,195
0,0.22,48,4,15,43
0,0.74,46,5,0,103
1,0.92,34,5,22,137
2,0.26,26,17,10,138
1,0.31,32,13,14,129
0,0.97,11,9,11,187
3,0.26,39,13,7,148
1,0.87,59,12,21,178
0,0.54,32,2,19,64
1,0.32,18,5,5,96
2,0.88,14,7,2,148
1,0.5,20,11,23,142
1,0.56,20,12,12,147
0,0.42,58,10,12,100
0,0.63,35,11,1,127
0,0.25,46,0,4,29
1,0.45,29,16,16,167
2,0.97,17,15,5,222
3,0.33,10,10,1,143
3,0.69,48,12,3,171
0,0.39,13,17,21,154
0,0.8,49,10,10,145
1,0.22,40,11,7,110
3,0.97,47,5,11,193
0,0.51,24,8,7,101
2,0.31,22,15,10,131
2,0.17,47,3,21,39
0,0.25,25,2,19,42
0,0.57,8,15,7,158
3,0.4,54,11,7,139
3,0.85,37,10,16,183
1,0.49,31,4,19,103
3,0.32,11,17,19,194
2,0.66,10,18,22,185
2,0.74,19,5,15,100
0,0.25,22,17,13,126
3,0.25,36,5,10,90
1,0.13,15,3,6,60
2,0.76,24,11,15,144
2,0.7,28,18,12,197
1,0.53,19,1,14,90
1,0.86,52,16,23,197
2,0.83,11,10,15,159
2,0.63,25,10,20,132
1,0.88,46,15,22,203
2,0.29,30,1,23,34
0,0.2,48,1,8,23
0,0.34,18,7,2,69
1,0.15,41,12,18,121
3,0.58,25,9,19,157
1,0.94,22,7,4,157
1,0.14,9,3,9,73
3,0.21,7,14,16,146
3,0.51,27,0,14,90
3,0.94,30,10,22,180
0,0.38,41,6,7,60
2,0.56,28,16,14,157
0,0.14,53,19,20,131
2,0.23,23,17,13,132
0,0.99,55,11,19,191
2,0.97,29,8,6,175
0,0.1,25,4,20,31
3,0.96,16,9,22,204
1,0.68,45,3,11,101
0,0.88,37,4,16,106
2,0.51,54,9,16,112
3,0.56,57,10,9,159
0,0.54,8,9,18,121
0,0.7,46,7,13,104
3,0.23,11,1,10,79
0,0.13,26,7,1,55
1,0.38,59,15,17,164
0,0.73,37,4,6,82
1,0.28,21,2,11,59
1,0.71,28,11,1,157
3,0.97,38,12,19,244
0,0.18,32,12,17,94
3,0.71,47,9,5,154
0,0.5,45,3,23,53
0,0.88,43,8,9,136
2,0.26,26,1,19,58
0,0.72,53,18,14,174
3,0.85,21,0,4,116
1,0.95,38,6,19,186
0,0.71,10,16,2,175
2,0.55,50,2,4,67
3,0.66,10,19,7,233
0,0.88,38,19,7,194
3,0.61,5,2,7,122
2,0.13,14,2,11,44
2,0.94,25,16,23,197
3,0.72,9,6,22,159
0,0.71,6,13,7,154
1,0.29,26,16,10,160
2,0.69,52,17,13,172
0,0.45,6,12,7,124
0,0.69,14,19,23,187
1,0.2,38,19,9,156
2,0.69,20,17,6,176
2,1.0,52,3,16,139
0,0.14,55,0,3,6
0,0.98,43,17,12,210
1,0.47,26,0,3,67
1,0.88,16,12,4,175
2,0.8,28,19,21,194
3,0.61,51,19,3,204
2,0.76,44,9,17,135
0,0.89,42,10,5,142
2,0.46,14,8,23,112
3,0.39,39,8,23,125
1,0.7,55,4,22,108
3,0.83,53,0,21,116
3,0.79,36,16,1,214
3,0.82,11,1,22,138
1,0.49,25,12,10,147
3,0.84,24,8,13,165
3,0.21,30,3,4,76
3,0.59,8,4,5,132
0,0.11,50,10,9,76
3,0.39,56,18,7,182
1,0.43,26,2,13,77
3,0.46,19,11,23,142
3,0.73,44,18,2,209
1,0.45,25,18,11,167
3,0.5,19,12,15,149
1,0.31,26,6,22,83
3,0.44,56,14,16,164
1,0.3,32,6,0,84
3,0.17,18,7,22,100
