queue_count,priority_code,hour_of_day,occupancy_rate,doctors_available,wait_time
45,2,13,0.25,6,515
30,0,1,0.92,3,384
34,3,8,0.72,4,398
32,0,4,0.9,8,397
20,2,19,0.2,3,228
31,0,0,0.34,6,375
22,3,22,0.51,1,248
32,0,2,0.5,7,384
2,1,5,0.38,8,9
17,2,4,0.51,8,180
24,2,20,0.3,3,276
41,2,4,0.53,1,496
30,3,0,0.84,9,326
2,2,16,0.58,6,5
39,1,18,0.21,9,463
45,3,13,0.54,7,503
23,1,11,0.22,1,278
49,0,9,0.97,1,624
31,0,19,0.3,6,379
46,0,20,0.77,5,565
21,0,17,0.98,9,272
22,1,23,0.86,2,275
1,3,10,0.76,8,10
26,3,1,0.87,5,291
41,2,17,0.99,2,511
1,1,6,0.7,6,9
25,0,23,0.65,8,298
16,1,14,0.7,4,197
39,2,10,0.63,2,472
32,2,17,0.71,5,385
8,1,22,0.56,2,97
42,1,11,0.37,2,508
47,1,5,0.3,6,554
38,3,19,0.25,9,424
28,0,22,0.41,4,342
41,1,12,0.24,6,481
25,1,19,0.65,7,309
34,1,15,0.43,6,401
49,2,17,0.86,8,581
24,2,9,0.26,4,283
23,3,22,0.38,1,254
12,0,7,0.78,7,143
6,3,17,0.68,3,57
35,0,20,0.25,6,420
44,2,0,0.9,2,521
19,2,22,0.9,9,218
0,2,7,0.46,1,16
7,3,5,0.47,6,56
45,1,4,0.99,6,547
15,1,14,0.7,5,179
13,2,21,0.63,5,145
11,1,14,0.87,1,146
22,1,1,0.43,5,256
14,3,0,0.54,2,153
27,0,22,0.41,7,318
33,2,22,0.83,3,384
1,2,10,0.66,4,32
31,3,9,0.73,3,359
22,3,17,0.4,3,244
21,1,17,0.38,4,256
24,2,16,0.59,5,272
21,0,7,0.79,1,269
21,3,14,0.62,4,223
48,0,7,0.23,8,568
41,0,16,0.89,7,501
5,2,11,0.25,9,33
14,2,7,0.96,5,166
42,3,13,0.22,4,465
36,2,3,0.76,8,417
32,2,0,0.27,9,353
7,2,0,0.93,7,71
43,0,18,0.57,7,531
43,3,15,0.31,5,480
4,1,13,0.47,4,44
38,0,20,0.33,1,461
3,2,15,0.34,7,8
5,0,4,0.96,1,92
44,2,8,0.56,1,533
31,2,1,0.83,5,360
29,0,17,0.71,9,361
46,3,5,0.74,6,530
34,2,8,0.31,3,402
39,3,0,0.39,3,444
15,1,8,0.83,7,185
12,2,15,0.98,6,131
49,3,12,0.41,9,548
41,3,8,0.42,6,469
29,1,20,0.58,5,333
18,3,12,0.99,7,191
16,3,8,0.42,1,173
18,1,10,0.53,7,214
27,2,3,0.91,3,319
25,3,1,0.2,9,256
36,3,5,0.23,6,389
25,3,13,0.68,9,262
22,0,3,0.93,5,273
8,1,5,0.39,7,91
11,0,18,0.58,4,152
0,1,5,0.56,7,2
0,2,1,0.58,1,16
46,2,17,0.7,7,550
33,3,12,0.58,8,367
31,1,8,0.56,5,383
47,2,22,0.58,2,555
24,1,18,0.67,5,291
39,2,12,0.63,6,457
44,0,10,0.88,2,557
0,2,0,0.24,6,2
15,0,23,0.87,6,191
38,2,21,0.88,1,453
4,3,6,0.43,1,25
21,0,20,0.57,3,263
28,2,14,0.55,3,324
2,3,0,0.37,4,7
11,0,11,0.52,2,138
25,3,6,0.24,9,254
15,1,14,0.42,7,171
36,1,20,0.85,7,426
21,0,18,0.43,6,263
28,2,0,0.85,3,336
13,0,16,0.63,6,161
27,3,16,0.9,8,297
4,2,2,0.66,8,33
46,1,11,0.22,9,532
48,2,5,0.74,1,573
29,1,10,0.24,1,351
45,2,2,0.56,3,530
4,2,7,0.94,3,46
11,2,13,0.33,8,108
15,3,13,0.51,1,160
25,3,9,0.78,2,296
25,0,1,0.91,2,319
47,0,13,0.74,3,570
20,1,8,0.41,6,245
38,3,2,0.74,1,441
35,1,20,0.44,2,418
32,0,7,0.77,1,405
29,1,15,0.96,5,350
36,0,1,0.78,7,444
22,3,5,0.89,8,236
9,2,20,0.2,1,90
4,3,11,0.77,7,18
35,1,4,0.86,5,425
33,1,1,0.23,1,394
30,3,15,0.9,3,344
9,3,4,0.41,7,70
18,0,14,0.73,1,235
31,1,11,0.84,7,373
0,1,3,0.73,5,16
4,3,14,0.27,1,17
44,2,10,0.68,1,537
3,1,15,0.64,1,46
15,2,22,0.92,9,167
23,3,5,0.52,3,254
15,3,13,0.46,5,141
1,0,17,0.8,9,24
48,1,11,0.53,6,567
27,2,10,0.72,9,325
31,0,12,0.72,8,379
26,1,20,0.91,8,312
19,0,22,0.68,1,248
23,3,10,0.6,9,254
11,1,22,0.31,6,126
49,0,15,0.29,9,583
34,0,14,0.32,3,411
32,2,20,0.34,3,366
32,0,14,0.71,6,388
42,1,3,0.79,9,502
36,1,10,0.62,7,437
11,2,18,0.86,3,138
2,1,14,0.99,3,35
0,3,3,0.86,2,27
32,1,20,0.76,9,383
39,1,12,0.63,3,479
9,0,21,0.56,5,116
42,0,18,0.27,9,505
43,1,1,0.52,8,507
28,2,13,0.93,2,333
12,0,3,0.85,3,156
11,2,15,0.37,2,121
30,1,20,0.57,8,349
45,1,19,0.85,6,554
1,3,13,0.25,6,3
49,0,14,0.51,9,582
34,1,2,0.88,8,416
22,3,7,0.52,4,232
16,0,15,0.26,4,196
25,1,9,0.63,9,303
7,1,3,0.89,1,103
28,0,17,0.67,2,356
25,0,1,0.38,2,317
9,0,16,0.51,6,110
25,1,12,0.56,4,303
33,1,3,0.66,3,406
40,3,10,0.81,3,469
6,2,6,0.28,3,58
3,0,11,0.91,6,46
49,1,9,0.21,8,587
44,1,6,0.5,7,517
10,0,12,0.22,4,120
28,2,6,0.51,4,324
35,0,23,0.62,2,437
24,2,16,0.61,1,291
20,1,9,0.33,9,232
35,2,9,0.72,2,431
9,3,23,0.24,8,73
36,1,3,0.81,9,429
8,3,19,0.96,4,87
23,0,3,0.47,8,267
34,0,21,0.61,9,415
48,0,6,0.5,5,580
34,2,21,0.21,7,377
47,1,0,0.51,4,557
35,0,11,0.83,1,437
17,0,23,0.68,3,221
48,1,12,0.28,5,571
38,0,9,0.88,3,487
31,3,14,0.62,7,341
23,1,12,0.87,9,269
22,1,22,0.66,6,260
31,1,21,0.65,1,376
36,3,21,0.28,7,394
11,1,20,0.33,3,124
48,3,21,0.98,5,555
12,1,8,0.38,4,149
22,2,8,0.98,5,264
24,0,14,0.63,5,296
34,2,9,0.31,6,395
40,0,23,0.28,6,482
29,3,9,0.37,8,315
16,2,7,0.94,8,176
48,1,23,0.53,9,564
19,0,15,0.52,8,223
47,0,16,0.45,2,573
24,2,4,0.32,1,269
21,3,3,0.59,2,227
12,2,17,0.3,2,136
18,3,23,0.87,3,201
48,3,18,0.5,7,548
35,0,3,0.5,2,424
11,2,6,0.58,1,126
40,2,9,0.56,6,475
18,3,17,1.0,9,199
11,2,18,0.64,3,132
8,1,3,0.27,6,82
6,1,9,0.69,3,88
27,2,0,0.32,1,308
13,2,22,0.22,5,132
30,3,17,0.98,4,357
18,1,4,0.82,7,211
46,1,14,0.98,6,558
15,0,16,0.58,7,175
4,3,2,0.63,5,22
34,0,11,0.33,4,406
11,1,1,0.4,7,126
24,3,0,0.87,7,257
20,2,22,0.48,6,224
35,3,20,0.86,8,397
22,2,16,0.77,4,253
15,2,21,0.34,5,157
38,3,15,0.61,4,426
44,2,4,0.74,1,525
41,0,14,0.39,8,490
38,1,2,0.86,1,467
13,2,6,0.64,5,140
30,0,10,0.33,6,360
4,2,9,0.67,6,51
34,1,8,1.0,5,434
22,0,13,0.32,3,270
28,1,12,0.85,5,338
42,1,1,0.37,8,494
10,0,2,0.83,2,143
17,0,6,0.79,6,213
46,0,20,0.44,9,547
11,3,17,0.46,8,109
8,0,2,0.83,8,96
9,0,9,0.57,8,122
43,0,21,0.78,7,522
16,0,6,0.32,8,182
37,2,8,0.88,6,442
6,3,16,0.77,2,51
45,1,10,0.93,2,558
12,0,6,0.31,8,145
39,2,23,0.67,1,467
41,2,13,0.68,6,483
8,2,18,0.48,6,90
49,1,3,0.57,4,588
26,0,5,0.23,3,314
1,3,9,0.8,3,26
4,3,6,0.64,1,28
28,2,12,0.25,3,313
36,1,13,0.74,4,441
37,1,3,0.57,5,435
18,1,7,0.23,3,206
7,3,4,0.98,6,72
47,2,0,0.96,5,561
44,0,3,0.61,3,540
0,3,2,0.27,6,2
21,2,8,0.8,6,246
16,2,7,0.59,8,167
6,0,0,0.44,2,79
24,0,5,0.59,1,299
44,0,8,0.62,4,547
3,1,6,0.65,7,34
35,0,3,0.55,3,435
5,2,12,0.68,3,56
30,0,16,0.93,5,371
18,2,1,0.49,5,199
43,3,4,0.78,3,494
38,1,11,0.92,9,451
26,3,20,0.56,4,280
9,3,7,0.55,3,89
25,2,5,0.68,2,295
18,3,7,0.67,9,181
38,2,17,0.85,4,463
2,0,2,0.58,3,37
44,0,21,1.0,7,545
12,2,11,0.25,8,113
49,0,2,0.2,2,593
27,1,21,0.71,7,318
19,3,5,0.44,5,195
27,1,1,0.39,5,318
7,3,22,0.45,3,57
40,0,11,0.4,5,482
38,1,1,0.22,2,455
0,0,5,0.98,4,16
2,3,16,0.38,6,2
12,2,2,0.79,1,141
27,2,1,0.81,4,330
48,1,22,0.94,6,578
24,0,19,0.22,9,285
32,0,7,0.9,2,408
37,1,21,0.62,7,438
5,2,11,0.71,6,51
43,3,3,0.72,2,498
44,1,4,0.86,8,526
31,3,12,0.47,7,334
44,2,14,0.79,5,517
46,0,22,0.62,5,558
20,2,15,0.83,7,228
15,1,9,0.99,9,187
20,0,22,0.36,9,233
10,1,15,1.0,9,117
36,1,11,0.27,6,424
35,2,16,0.2,6,399
34,1,15,0.24,3,399
18,2,11,0.47,1,205
19,0,7,0.71,7,234
17,2,19,0.26,4,200
46,0,2,0.2,1,563
40,2,15,0.95,8,464
48,3,12,0.86,6,557
13,3,22,0.85,6,132
14,1,18,0.91,2,191
30,2,7,0.76,1,361
0,2,21,0.28,2,8
2,0,4,0.52,4,35
15,1,19,0.78,2,205
22,2,7,0.42,1,260
10,1,23,0.75,7,111
11,3,11,0.22,8,88
9,2,0,0.44,6,81
31,2,20,0.64,4,359
15,1,19,0.71,6,180
7,2,5,0.66,3,78
37,1,21,0.76,8,442
11,2,17,0.2,2,123
23,0,7,0.28,5,272
27,1,6,0.9,1,340
7,2,0,0.75,6,69
27,3,20,0.29,2,290
35,2,15,0.87,4,411
25,3,11,0.39,6,264
7,3,5,0.58,8,47
49,0,19,0.32,8,590
27,1,1,0.77,6,327
27,2,13,0.73,4,320
36,0,3,0.37,8,433
40,2,0,0.89,8,468
35,3,22,0.52,1,399
26,1,17,0.43,4,320
16,2,12,0.32,4,167
8,2,1,0.41,7,73
32,3,8,0.22,7,351
19,2,20,0.67,8,209
12,2,1,0.87,5,138
27,3,8,0.64,7,302
47,0,0,0.38,8,556
28,3,10,0.23,9,300
12,0,2,0.37,3,147
45,1,19,0.53,3,541
34,0,22,0.81,4,417
5,0,3,0.35,5,61
17,1,17,0.78,1,230
4,0,22,0.89,7,49
46,3,5,0.56,9,512
24,0,2,0.86,8,297
1,1,21,0.64,5,20
9,3,10,0.71,4,93
29,1,14,0.62,7,341
49,1,21,0.57,5,591
44,2,4,0.39,7,509
4,2,19,0.44,1,52
32,1,9,0.43,1,395
0,1,11,0.65,3,25
17,1,14,0.3,2,194
31,2,16,0.93,2,378
46,2,9,0.78,7,549
48,0,5,0.52,2,588
10,0,17,0.33,4,128
20,1,12,0.91,2,245
25,3,2,0.86,6,277
24,3,23,0.78,8,261
21,2,9,0.42,4,249
26,2,13,0.52,5,299
48,2,5,0.28,4,558
12,1,2,0.35,3,137
32,3,15,0.83,5,365
33,0,6,0.77,9,395
40,1,19,0.67,8,489
34,0,13,0.92,8,417
0,0,8,0.67,8,13
20,1,14,0.57,8,236
47,0,20,0.47,7,568
5,3,2,0.95,8,38
27,0,1,0.27,8,313
16,3,1,0.94,8,170
4,3,2,0.86,7,19
30,3,17,0.3,1,346
4,2,13,0.65,4,33
37,0,19,0.89,4,470
2,1,17,0.66,5,31
22,1,9,0.93,6,283
36,0,1,0.95,4,454
36,2,21,0.54,2,424
9,2,0,0.5,6,91
9,3,3,0.95,8,86
18,0,13,0.74,8,225
16,0,0,0.29,7,187
20,1,13,0.23,6,226
13,0,15,0.65,2,173
8,2,21,0.94,7,80
45,0,13,0.88,5,558
0,1,19,0.74,6,24
44,3,2,0.31,8,486
12,1,2,0.4,8,136
3,1,8,0.9,3,55
0,3,5,0.35,7,2
48,1,12,0.42,1,583
39,1,20,0.3,1,468
31,0,1,0.74,7,380
33,0,7,0.96,9,404
27,3,20,0.42,7,288
30,0,1,0.58,5,362
7,0,3,0.71,8,87
38,1,14,1.0,2,466
25,2,3,0.28,9,267
33,0,12,0.6,6,393
2,2,11,0.51,9,3
49,0,12,0.89,2,615
11,0,13,0.58,3,141
0,3,19,0.29,8,9
43,3,17,0.71,1,513
4,3,5,0.82,7,17
29,2,10,0.2,7,327
29,1,1,0.89,1,366
16,0,22,0.35,9,184
47,0,18,0.64,8,571
46,0,18,0.53,4,567
22,2,4,0.78,5,257
14,3,18,0.5,2,150
36,1,1,0.9,9,419
20,2,9,0.78,6,238
13,3,1,0.72,3,134
1,2,10,0.84,7,24
10,1,17,0.8,9,131
38,3,23,0.23,3,423
37,2,14,0.52,2,436
33,1,8,0.94,7,414
37,0,22,0.3,7,440
49,1,18,0.79,4,612
33,0,8,0.98,9,409
17,2,2,0.24,8,172
29,3,20,0.75,1,334
14,3,8,0.57,1,162
26,2,13,0.66,5,300
33,3,18,0.27,6,364
37,3,6,0.23,3,418
32,0,15,0.73,9,383
23,2,15,0.86,6,269
14,1,0,0.83,4,180
29,0,3,0.64,7,350
41,2,3,0.28,8,463
16,0,6,0.75,9,193
4,1,7,0.39,6,43
28,1,16,0.93,6,345
3,2,4,0.87,8,24
9,1,6,0.77,5,119
16,0,19,0.96,3,222
9,1,19,0.23,3,117
16,0,3,0.79,6,200
19,0,5,0.46,2,247
23,1,6,0.92,6,287
4,2,17,0.41,6,38
33,3,4,0.78,8,372
5,1,19,0.9,7,78
1,0,2,0.23,8,10
12,0,6,0.52,9,131
42,1,21,0.81,6,509
42,2,13,0.56,3,496
47,2,6,0.41,3,552
10,0,4,0.38,1,130
46,0,21,0.31,5,553
22,2,4,0.89,4,265
15,3,22,0.66,9,148
30,1,1,0.26,9,343
10,0,20,0.51,5,129
15,0,21,0.49,4,188
7,2,5,0.35,7,63
3,1,14,0.55,6,39
39,2,20,0.47,4,452
3,1,9,0.47,2,42
24,1,22,0.79,1,300
2,1,23,0.38,4,20
31,0,6,0.71,4,387
2,3,4,0.66,1,19
26,2,0,0.65,6,301
28,3,12,0.73,4,323
31,2,20,0.64,1,371
49,1,17,0.9,1,616
18,0,12,0.74,1,234
20,3,20,0.64,8,201
4,0,20,0.86,8,46
17,2,17,0.68,2,207
27,0,4,0.43,7,312
41,0,12,0.37,8,489
21,3,3,0.32,8,209
20,1,16,0.92,7,238
5,0,2,0.77,5,72
0,1,16,0.95,1,29
4,2,10,0.68,9,41
40,0,20,0.58,7,485
11,3,19,0.25,2,108
25,2,22,0.74,6,288
45,2,20,0.67,2,536
33,3,3,0.99,1,380
48,0,1,0.39,7,575
13,0,19,0.62,2,174
25,2,15,0.72,2,298
44,0,17,0.72,5,546
26,1,7,0.65,5,307
8,3,2,0.82,7,67
25,1,8,0.36,1,309
46,0,19,0.78,8,572
21,2,5,0.7,3,246
46,3,9,0.92,4,540
29,0,20,0.88,9,361
42,0,9,0.45,4,522
47,2,12,0.42,5,545
16,2,16,0.99,7,179
25,1,8,0.62,4,310
35,3,16,0.93,1,407
0,3,23,0.33,9,2
7,2,8,0.71,4,88
48,1,8,0.85,9,586
34,3,0,0.96,6,381
14,2,1,0.47,1,161
46,0,15,0.78,3,567
21,3,0,0.63,2,241
13,1,9,0.25,9,149
25,1,17,0.75,1,318
27,1,7,0.75,9,319
22,0,20,0.94,9,271
13,3,10,0.6,8,124
23,3,22,0.38,8,238
1,0,1,0.24,1,17
44,3,7,0.53,8,492
25,0,21,0.44,3,304
13,0,7,0.81,7,160
6,0,16,0.48,1,88
2,1,14,0.96,1,44
46,3,16,0.97,5,535
22,0,22,0.7,5,266
45,3,23,0.94,8,516
42,1,12,0.81,7,497
46,0,18,0.64,8,561
44,2,4,0.34,6,510
17,1,11,0.57,6,203
37,2,0,0.65,2,440
34,3,22,0.89,6,391
14,3,4,0.59,5,142
24,1,7,0.92,3,291
36,3,12,0.74,6,404
27,2,7,0.31,8,298
9,0,22,1.0,9,116
38,0,10,0.62,1,479
16,0,0,0.51,3,197
38,1,12,0.73,3,472
21,3,18,0.29,8,219
25,2,23,0.71,1,307
43,3,2,0.6,5,483
24,3,23,0.53,3,265
16,3,16,0.96,2,180
12,0,4,0.62,8,142
19,2,19,0.38,3,222
24,2,20,0.57,7,270
3,3,7,0.94,1,22
9,0,13,0.34,6,105
2,0,3,0.37,3,20
40,2,10,0.21,8,464
44,0,19,0.21,6,538
17,0,14,0.86,2,225
46,0,18,0.79,6,581
35,1,6,0.48,7,415
46,3,18,0.76,5,543
21,2,18,0.52,3,256
33,2,10,0.96,4,393
46,1,4,0.97,4,564
7,3,4,0.51,6,46
39,2,21,0.88,1,465
48,0,7,0.82,4,586
43,2,9,0.45,4,510
18,0,5,0.39,1,228
41,1,14,0.57,9,484
40,0,15,0.83,4,495
36,2,16,0.97,7,427
